യുണൈറ്റഡിന്	For United
ഫിക്ഷന്‍	Fiction
വളര്‍ച്ച	Growth
ലീഗ‌്	League
പുരട്ടി	Applied
ഒന്നിലേറെ	More than one
വിവരിച്ച്‌	Described
ഫോട്ടോഗ്രാഫര്‍മാരോട്	to the photographers
സ്ട്രൈക്കര്‍	Striker
സൗരവ്	Sourav
മുന്നണിയില്‍	In the front
ഇന്‍ഫോപാര്‍ക്കിലേക്ക്	To Infopark
ഭരണത്തുടര്‍ച്ചയുണ്ടാകുമെന്ന്	That there will be continuity of governance
കൈ​മാ​റു​ന്ന​തി​നു​ള്ള	To transfer
ജസ്ല	Jazla
ദക്ഷിണാഫ്രിക്കയുടെ	South Africa's
അംല	Amla
കണ്ടതോടെ	When i saw it
പലിശയിളവ്	Interest Subvention
തോല്‍‌വിയിലേക്ക്	to defeat
ഇഫക്റ്റില്‍	In effect
ഇ​ത​ര​സം​സ്ഥാ​ന	Other State
തെളിവില്ലാത്തതിനാല്‍	Because there is no evidence.
ബോ​​ര്‍​​ഡി​​ലേ​​ക്ക്	To the board
യു​എ​സ്	U.S.
ഓട്ടോകളിലും	In autos.
ചിരിച്ച	Laughing
മുന്നേറ്റം	Advance
യാഷിനെ	Yash
ഈടാക്കാന്‍	To charge
ചിരിപ്പിച്ച	Laughed at me
അന്ന്	On that day
ആന്‍ഡ്രൂ	Andrew
അപമാനിച്ചു	Insulted
സഹതാരങ്ങള്‍	Co-stars
രാജ്യങ്ങള്‍	Countries
പ്രഖ്യാപിച്ചിട്ട്	Announced
ഖവാജയ്ക്കും	and Khawaja
പരാമര്‍ശമില്ല	No mention
ഹോംസ്	Holmes
ജയിലിലേക്കോ	To the prison.
ആമസോണിന്റെ	Amazon's
അവസാനം	At last
ശ്രീലങ്കന്‍	Sri Lanka
കാളിദാസ്	Kalidas
ദി​ലീ​ഷ്	Dileesh
വോട്ടിംഗ്	Voting
കൈയോടെ	With hand
നെഞ്ചിടിപ്പോടെ	With a heartbeat
ഉത്തരാഖണ്ഡിലെ	of Uttarakhand
മോ​ഹ​ന്‍​ലാ​ല്‍	Mohanlal
സൂം	Zoom
വ്യാപാരയുദ്ധം	The trade war
സംഘം	company
ബഹ്‌റിന്‍	Bahrain
പറയാനുള്ളത്	What i have to say
കമ്ബനിക്ക്	For the company
പങ്കുവയ്ക്കാന്‍	To share
അവതരാക	To appear
മന്ത്രിയുടെ	Minister's
ബോധ്യമുണ്ട്	I am convinced
എരിയുന്ന	Burning
ഷോട്ടില്‍	In the shot
ബിഹാറിനെ	Of Bihar
കണ്ണുരുട്ടി	Rolled his eyes
കാലാവസ്ഥ	weather
മ​ന്ത്രി	minister
പ്രോവിഡന്റ്	Provident
ഉടമസ്ഥര്‍	Owners
എഞ്ചിനീയര്‍	Engineer
ഏഴയലത്ത്	At Ezhayalam
രൂപവരെ	Up to Rs.
തൃശ്ശൂരും	Thrissur and
കോ​ട്ട​ക്	Kotak
സീരിസായി	As a series
ഗംപ്‌	Gump
വിലകുറച്ച്‌	Reduced prices
തെറിപ്പിച്ച	Tossed up
ഏ​പ്രിലിലെ	in April
കേസരിയിലെ	of Kesari
പരാതി	Complaint
സമ്മാന	Gift
തുടര്‍ച്ചയായി	Continuously
വിരമിക്കല്‍	Retirement
ആകാംക്ഷയില്‍	In curiosity
പ​ത്തു​	ten
കാട്ടി	Shown
ഒരുങ്ങിയിരിക്കുന്നത്	It's ready
20യില്‍	In 20.
ജിയോയുടെയും	and Jio
ജോര്‍ജു	George
സ്റ്റീഫന്‍	Stephen
റദ്ദാവുന്നത്	Cancelled
അ​​ര്‍​​ജ​​ന്‍റീ​​ന	Argentina
രോമാഞ്ചമണിയിച്ച്‌	With a bang
പിന്‍ഗാമി	Successor
അശ്വനി	Ashwani
മൊട്ടയടിച്ച്‌	Shaved
പറ്റുന്നതും	As far as possible
ലഭിച്ച്‌	Got it
പ്രേമികള്‍ക്ക്	For lovers.
ആകൃതിയില്‍	In shape
അതങ്ങ്	That's it.
റോയല്‍	Royal
ആന്‍ഡ്രിയ	Andrea
ഒത്ത	Ota
റയലിന്‍റെ	Real's
ഇന്ത്യയും	and India
ലോക	World
കണക്കില്ല	No accounting
വിരാമമിട്ടുകൊണ്ട്	By pausing
പുളഞ്ഞ്	Whimpering
സമ്ബന്നനായി	Wealthy
കലാശക്കളിക്ക്	To the end
ആക്സസിനു	For access
ഉ​ത്പാ​ദ​നച്ചെ​ല​വു	Cost of Production
ഉമ്മ	kiss
സുരക്ഷിതത്വവുമാണ്	It's safe.
കരണ്‍	Karan
മുന്‍കൂര്‍	Advance
വിളിച്ച്‌	Calling
വെല്ലുവിളിക്കുന്ന	Challenging
ശതമാനമാക്കിയതിന്റെ	percentage of
വെളിപ്പെടുത്തുന്നു	Revealing
ഗ്രേഡ്	Grade
ഫസ്റ്റ്ലുക്ക്	First Look
ആംഗ്യം	Gesture
പരമ്ബരയ്ക്കുള്ള	For the series
പേരിട്ടത്	The name is
ഉത്തരവുമായി	with the answer
രാഷ്ട്രീയവത്കരിക്കുന്നു	Politicizing
ഉഷയുടെ	Usha's
ബാലന്റെ	The boy's
പോലുമില്ല	Not even
കപ്പയ്ക്കും	and Kappa
പോളിസിയില്‍	In the policy
ഗോകുലത്തിന്‌	For Gokulam
റദ്ദാക്കുമെന്ന്	That it will be canceled
വെറുതേ	It's just
ബഡായി	Badai
മോചനം	Liberation
മോര്‍ട്ടാലിറ്റി	Mortality
പരിശീലന	Training
സ്റ്റേ​റ്റ്മെ​ന്‍റ്	Statement
ദ്രാവിഡിനെ	Dravid
ഐഷു	Aishu
ആകര്‍ഷകമായ	Attractive
അര്‍ജ്ജുന്‍	Arjun
ഷില്ലോംഗ്‌	Shillong
വിലനിശ്ചയിച്ചിട്ട്	The price has been fixed
സിനിമതാരങ്ങള്‍	Movie stars
നേടിയത്	Achieved
നയന്‍താരയ്ക്കൊപ്പം	With Nayanthara
വെല്ലുന്ന	Welling
അപായപ്പെടുത്താന്‍	To harm
എടുക്കാന്‍	To take
ക്രിസ്മസിനെത്തുമെന്ന്	It's going to be Christmas.
എ​​ന്നി​​ട്ടും	And yet
തടസ്സം	Obstruction
ജാക്കറ്റും	And the jacket.
ഷൂ	Shoes
ഒറ്റയടിക്ക്	At once
ധാരണ	Understanding
പൊതുവിദ്യാലയങ്ങള്‍	Public Schools
ടോക്കിനു	Tok'
മീ	Mee
നായികയെന്ന്	The heroine
തോന്നുന്നു	I think so
ക​​​മ്മി	Deficit
നിരാമയ	Niramaya
പ്രശംസിച്ച്‌	Praising
ശതമാനം	percentage
എയര്‍കണ്ടീഷ്ണറുകളുമായി	with air conditioners
എ1	A1
ചുരിദാര്‍	Churidar
ഇടംനേടാന്‍	To get a place
ലഭിച്ച	Received
മമ്മൂട്ടി	Mammootty
ഭീകരാക്രമണം	Terrorist attack
സെറ്റില്‍	On Set
ഹാസനും	And Hassan
ഐ	I
പാളിയോ	The layer
വേനല്‍ച്ചൂടില്‍	In the summer heat
പെര്‍ത്ത്	Perth
വെനസ്വേല	Venezuela
മിനുക്കി	Polished
ബര്‍മിംങ്ഹാം	Birmingham
പഠിച്ചു	Studied
രൂപീകരണത്തിനായി	For formation
ഒരിക്കലും	Never.
ഒരിക്കല്‍	Once in a whil
തോല്‍വിയില്‍	In defeat
ഇടവേള	Break
തലത്തിലേക്ക്	To the level
ജര്‍മ്മന്‍	German
ആളിക്കത്തിയ	ignited
കങ്കാരുപ്പടയുടെ	of the kangaroos
വരിച്ച്‌	Varich
തനിഷ	Tanisha
തങ്ങളെക്കുറിച്ച്‌	About them.
മികവുമായി	with excellence
രാഹുല്‍	Rahul
മലാഖ	Malacca
രാജ്യത്തെവിടെയും	Anywhere in the country
ലീഗിലെ	in the league
സര്‍ക്കസ്	Circus
നി​യ​ന്ത്രിക്കണമെന്ന്	To be controlled
ലോകകപ്പിനുള്ള	for the World Cup
ധോണിയില്ല	There is no Dhoni.
ക്രിസ്റ്റ്യാനോ	Christiano
ജീവിതത്തില്‍	in life.
നൂറിനുമായുള്ള	with Noorin
നി​ഷി	Nishi
ആര്‍ച്ചറുടെ	Archer's
സംവിധാനത്തിലെ	In the system
ആരംഭിച്ച	Started
സംഘങ്ങളുടെ	Of the groups
തുടക്കം	beginning
ടീമുകളെയും	and the teams.
ഓര്‍ക്കണമെന്ന്	To remember
ന​​​​ല്​​​​കി	Provided
വ​നി​ത​ക​ള്‍​ക്ക്	For women.
ലഭിക്കണമെങ്കില്‍	If you want to get it
ഗ്രൂപ്പുകളില്‍	In groups
28ന്	on the 28th.
നി​ര്‍​മാ​ണ​ശൈ​ലി​യു​മാ​യി	With the construction style
വിജയികളായി	as winners
പേ​​​​രി​​​​ല്‍	in the name
പിന്നിടുന്ന	After
ബെംഗളൂരു	Bengaluru
കോഴിക്കോട്	Kozhikode
തിരുവനന്തപുരം	Thiruvananthapuram
അക്കൗണ്ടുകളിലേക്ക്	To accounts
കേമനല്ല	He's not good.
തൂത്തുക്കുടിയിലെ	Of Thoothukudi
ചൊടിപ്പിച്ചിട്ടുണ്ടാകും	May have been annoyed
ലെവലാവുന്നു	Leveling up
മറികടന്നത്	Overcoming
ഒറ്റയാന്‍	Alone
ഈ​​സ്റ്റി​​നു	For the East
വി​മാ​ന​ത്താ​വ​ളം	airport
ഇരുന്താല്‍	Iron
ദു​ബാ​യി​ല്‍	In Dubai
സിന്തുബാദിന്‍റെ	Of Cinthabad
ലക്ഷ്യവുമായി	with the goal
2ന്	on 2.
ബില്‍ബോര്‍ഡ്	Billboard
അസഭ്യം	Vulgarity
സംവിധാനവുമായി	with the system
ഫെയ്‌സ്ബുക്കില്‍	On Facebook
അപഹസിക്കുന്നത്	Mocking
ഒന്നാമന്‍	The First
അതിവേഗ	Fast
അഭിനഭിനയിക്കേണ്ടിയിരുന്നത്	The actor was supposed to act
ഇ​ന്ത്യ​ന്‍	Indian
വിടുന്നില്ല	Not leaving
ടെലികോം	Telecom
താ​ര​മാ​യി	As a star
ദിനവും	and the day
മാധവനൊപ്പം	With Madhavan
പരസ്യത്തിനായി	For advertising
പ്രതിപക്ഷം	Opposition
അട്ടിമറിപ്പരമ്ബര	Coup d'état
തുടരാം	Let's continue
നിങ്ങളോട്	to you
രക്ഷപെടുത്തി	Rescued
വിളിച്ചാല്‍	If you call
ലോകാത്ഭുതങ്ങള്‍	Wonders of the World
സലാ	Salah
ധോണിക്ക്	For Dhoni
ഗിന്നസ്	Guinness
കുല്‍ദീപിനോട്	To Kuldeep
സിദാനെ	Zidane
നായകനോട്	To the hero
പ്രോല്‍സാഹനമായി	As an encouragement
നിയന്ത്രണ	Control
ബുണ്ടസ്	Bundes
ഭക്ഷണം	food
വാഹനങ്ങളും	and vehicles.
മരണ	Death
അജയ്	Ajay
ഗ്രൂ​പ്പ്	Group
പെരുമാറിയ	Behaved
പരാജയപ്പെടുത്തി	Defeated
തകര്‍ത്തഭിനയിച്ച	Smashed and acted
വരവേല്‍പ്പ്	Welcome
ധോനിയും	Dhoni and
ജപ്തി	Confiscation
പ​​​രി​​​സ്ഥി​​​തി	Environment
ലാഭവിഹിതം	Dividends
ലാ​ഭം	Profits
വീട്ടി	Home
പഠനം	Study
പരിക്കുണ്ടോ	Are you injured?
നേരിട്ട്	Directly
റാങ്കിങില്‍	in the rankings
ഞെട്ടിയത്	Shocked
പരുങ്ങി	The stammering
വിജയക്കൊടി	Victory Flag
ആരാധക	Fan
ആകാമെങ്കില്‍	If it can be
ശതകോടീശ്വരന്‍	The billionaire
ടോക്കിനെ	Tok
പുഷ്കരന്‍	Pushkaran
അയര്‍ലണ്ട്	Ireland
ഡെമോക്ലീസിന്‍റെ	Of Democleis
അഭിനേതാക്കളെ	The actors
ഇന്ത്യക്കെതിരെ	Against India
പാക്കിസ്ഥാനെതിരെ	against Pakistan
ബ്ര​​സീ​​ല്‍	Brazil
നടന്നില്ല	It didn't happen.
എറിക്സണ്‍	Eriksson
പ്ര​ചാ​ര​ണ​ത്തി​ന്	For campaigning
ഭാഗമായേക്കും	May be part of
ആനന്ദ്	Anand
ചുക്കാന്‍	The Head
മറ്റാരുമായിരിക്കില്ല	It won't be anyone else.
കേന്ദ്ര	Central
മാനുപ്പ	Manuppa
പാറ്റ്	Pat
തീരുമാനിച്ചിരുന്നു	It was decided
പോലെ	Such as
ഫ്ലാറ്റ്	Flat
വിലകള്‍	Prices
ആം​സ്ട്രാ​ഡ്	Amstraud
ഉത്തര്‍	Uttar Pradesh
ഇടപെടണമെന്ന്	I want to get involved.
നെഹ്	Nehru
നേട്ടമായി	As an advantage
ഉറങ്ങിയാലും	Even if you sleep,
ഉറിയടി	Uriyadi
പത്താമത്	The tenth
യാത്രയില്‍	On the journey
ഇരട്ട​ഗോളുമായി	With a double goal
ഓട്ടോയില്‍	In the auto.
റെക്കോര്‍ഡിനരികെ	Near the record
എ​​​ത്തു​​​ന്ന	Arriving
ജയസൂര്യ	Jayasurya
പ്രതികരണങ്ങള്‍	Responses
മുന്നോട്ട‌്	Forward
എക്‌സ്‌പോ	Expo
പാരീസില്‍	In Paris.
ദു​ബാ​യ്	Dubai
ഉല്‍പന്നങ്ങള്‍ക്കു	For products
തിരക്കഥയെഴുതി	He wrote the script
കോര്‍ക്കും	Cork and
ഓപ്റ്റിക്കല്‍	Optical
മാന്യന്മാരുടെ	Gentlemen
കാത്തിരിപ്പിന്	To wait
മദ്യം	Alcohol
വിജയനും	Vijayan and
ബിസിസിസി	BCCC
ഹാന്‍ഡ്‌സ്‌കോംപിന്	Handscombin
ടേര്‍ണര്‍	Turner
പ്രാബല്യത്തില്‍	In Effect
സ​മ്മേ​ള​നം	Conference
ബ്രസീല	Brazil
യുവനടന്‍	Young actor
ബാംഗ്ലൂരില്‍	In Bangalore
ചാമ്ബ്യന്‍സ്‌	Champions
സംവിധായകനാവുമ്ബോള്‍	When he becomes a director
ടെണ്ടര്‍	Tender
കണക്കുകള്‍	Figures
പൊറിഞ്ചു	Porinju
പ്രീമിയം	Premium
കല്യാണം	wedding
ഷെയ്‌ന്‍	Shane
ഫിഷറീസ്	Fisheries
കീരിടം	Crown
അടിപൊളി	Awesome
സല്‍ക്കാരമൊരുക്കി	The reception was arranged
ഉപയോഗിക്കുന്ന	Using
വരുന്ന	Coming
ബാ​റ്റി​സ്റ്റ	Batista
വിയര്‍ത്ത്	Sweating
അടിച്ച്‌	Hit it
മണിച്ചേട്ടനാണ്	Manichettan is manichettan
ആവേശഭരിതം	Excitement
നിര്‍വഹിച്ചത്	Executed
അട്ടപ്പാടിയില്‍	In Attappadi
സായി	Sai
ഇറങ്ങേണ്ടി	You have to get down
ത​നി​ക്ക്	For him
കാര്‍	car
ചരിത്രനായകനെ	The historical hero
മമ്മൂട്ടിയുടെ	Mammootty's
പ്രിയങ്കക്ക്	For Priyanka
കളിച്ച	played
സന്തോഷമേയുള്ളൂവെന്ന്	It's just a pleasure.
തുടരുന്നുണ്ടോ	Are you continuing?
ചെല്‍സിയില്‍	In Chelsea
കോടി	crores of rupees
കേരളത്തിന്	For Kerala
ആയയ്ക്ക്	To Aaya
റാ​​ഞ്ചി	Ranchi
അഭിനയിക്കണമെന്ന്	I want to act.
താജ്	Taj
റാഞ്ചിയിലെത്തി	Reached Ranchi
പോ​​ലീ​​സി​​നു	To the police.
സണ്ണിക്ക്	For Sunny
വിശദീകരണം	Explanation
വയാകോം18നും	Viacom18 and
തകര്‍ന്നടിഞ്ഞേക്കുമെന്ന്	That it will collapse
മത്സരങ്ങള്‍ക്ക്	For the competitions
സഹോദരി	sister
ഓര്‍മദിനം	Day of Remembrance
കൂടിയേക്കും	May increase
കണ്ടെത്തുന്നതിങ്ങനെ	How to find out
അംഗീകരിച്ചത്	Accepted
മെയ്ക്ക്	Make
പന്തിനെ	The ball
ഓല	Ola
യൂസുഫ്	Yusuf
ജീംബൂംബാ	Jeemboomba
കമ്മീഷണര്‍	Commissioner
കശുമങ്ങയില്‍നിന്നും	From the saffron
ട്രെയ്ലര്‍	Trailer
പ്രയാഗ	Prayaga
കാല്‍ലക്ഷവും	A quarter of a million
എടുക്കുമ്ബോള്‍	When it is taken
പ്രഖ്യാപനങ്ങള്‍	Announcements
ആശിഷ്	Ashish
പോയ	Gone
കോ​ടി	crores of rupees
കെയര്‍	Care
സ്വര്‍ണമുള്ളത്	It's gold
വീഴ്ത്തുന്നതിങ്ങനെ	How to fall
ബ്രാഡ്‌മാന്‍	Bradman
ഒട്ടാകെ	All over the world
രൂ​​​പ​​​ത്തി​​​ലേ​​​ക്കു	to the form
ശിവ	Shiva
പ്രകടിപ്പിച്ച്‌	Expressed
ചിത്രമടക്കം	Including the picture.
ദിലീപുമൊത്ത്	With Dileep
അമേരിക്കയും	and The United States
അമീര്‍ഖാന്‍	Aamir Khan
കോഡ്	Code
വടക്കന്‍റെ	The North's
പേമെന്റ്	Payment
കമ്ബോളങ്ങളില്‍	In the kambolas
എസും	S and
മിലിറ്റാവോ	Militao
കപ്പില്‍നിന്ന‌്	From the cup.
വഴിയില്‍	On the way
നായകന്മാരില്‍	Of the heroes
സുമേഷ്	Sumesh
സിവപ്പ്	Sivap
വ്യോമയാന	Aviation
സെവന്‍സില്‍	In the Sevens
രാഷ്ട്രീയത്തിലേക്ക്	Into politics.
വിജയിക്കും	Will win
സ്ഥാപകദിനവും	And The Foundation Day
സംഘടനയ്‌ക്കെതിരെ	against the organization
സൂപ്പര്‍താരമായിരുന്ന	Who was a superstar
ശല്യപ്പെടുത്തുന്നുവെന്ന്‍	That it's disturbing
ശ​ത​മാ​നം	percentage
വിമാനത്താവളത്തിന്റെ	of the airport
പരീക്ഷണങ്ങളും	and experiments.
വിതരണക്കാര്‍ക്ക്	For suppliers
തിരഞ്ഞെടുപ്പുചൂടിലേക്ക്	To the heat of the election
നൈറ്റ്സി	Nightsy
പട്ടാളത്തൊപ്പിയണിഞ്ഞ	Dressed in military uniforms
യു​ട്യൂ​ബ്	YouTube
റിയല്‍	Real
ല​ക്ഷം	million
ഹോബിയാണ്	It's a hobby
സോള്‍ഷ്യര്‍	Solskjaer
ഗോപിയെ	Gopi
ഉയര്‍ന്നു	raised
തിരിച്ചുപിടിച്ചതായി	It was retrieved.
ഹസാര്‍ഡ്	Hazard
ഫെല്ലെയ്‌നി	Fellaini
ഫെസ്റ്റിവല്‍	Festival
ഗുണങ്ങളേറെ	A lot of advantages
നിധിക്കായി	For the treasure
എസ്‌യുവി	SUV
മരയ്ക്കാര്‍	Marakkars
ലോകം	world
സാ​ന്പ​ത്തി​കസ​ഹാ​യം	Financial Assistance
ലാലേട്ടന്റെ	Lalettan's
ഉള്ള	there is
പ്രത്യേകതകള്‍	Characteristics
ബാധിക്കില്ല	Won't be affected
ചാണ്ടി	Chandy
ഫേവറിറ്റ്സ്	Favorites
സംസ്ഥാനത്തെ	in the state
സീരീസായും	and series
സ്വ​ദേ​ശി	Native
ഹേമാമാലിനി	Hema Malini
തുറുപ്പാക്കാന്‍	To open
പിന്നിലാക്കി	Backwards
വാട്സ്‌ആപ്പും	And WhatsApp
ഷമിയും	Shami and
സിനിമയാകുന്നു	It's a movie
ടര്‍ണര്‍	Turner
ചോലയില്‍	In the chola
പോക്‌സ്	Pox
വ്യത്യസ്തമായ	Different
സുംബാ	Zumba
മുന്തിരി	Grapes
വിയോജിപ്പ്	Disagreement
റൈഡേഴ്‌സിലേക്ക്	To the Riders
അന്നാണ്	That's it then.
ചൈനയിലേക്കില്ല	Not to China.
ഉപയോഗിക്കുന്നതായി	As used
കൗണ്ടറുകള്‍	Counters
ഗ്രാസിയ	Gracia
ഓപ്പണര്‍	Opener
ഉച്ചകോടി	Summit
മെഗാഹിറ്റുണ്ടായി	There was a megahit
കിസാന്‍	Kisan
ഭാഗ്യനടിയുടെ	Of the lucky actress
ശ്രുതി	Shruti
നേടിയവരില്‍	Of those who have won
ഐലീഗ്	I-League
എയ‍ര്‍ടെല്‍	Airtel
ധോ​ണി	Dhoni
ആന്റിക്രൈസ്റ്റ്	Antichrist
ടോപ്പേഴ്‌സായി	As toppers
മാറ്റങ്ങളുണ്ടായേക്കാം	There may be changes
ആവശ്യപെട്ട്	Requested
ശിവമണി	Sivamani
വ്യവസായികളുടെ	industrialists
വിട്ടുവീഴ്ചകള്‍ക്ക്	For compromises
പ്രശ്‌നം	The problem
പിക്‌ചേഴ്‌സിന്	For Pictures
വസ്ത്രങ്ങള്‍	The clothes.
കിഫ്ബിയെക്കുറിച്ച്‌	About KIIFB
കാ‍ര്‍ഡ്	Kard
ചഹാലും	Chahal too
റേഷന്‍	Rations
ഓഫീസിലും	And in the office.
പ്രൊഫൈല്‍	Profile
ഫോണുകളുടെ	of the phones
നവീകരിച്ച	Upgraded
കീര്‍ത്തി	Keerthi
കുറിച്ചുള്ള	About
സിസു	Sisu
ജൂനിയര്‍	Junior
പരിശീലകന്	Coach
കാല്‍വെയ്പ്പുമായി	With the footsteps
കലിച്ച്‌	Kalich
റീടെയില്‍	Retail
ഗാംഗുലിക്കൊപ്പമെത്താന്‍	To be with Ganguly
മ​സ്കി​നെതിരേ	Against Musk
ലു​​ഫ്താ​ന്‍​സ	Lufthansa
നിയോണ്‍	Neon
ബംഗ്ലാവില്‍	In the bungalow
ചെരുവില്‍	On the slope
കൊലപാതകത്തേക്കാള്‍	More than murder.
നഗരങ്ങളിലേക്ക്	to the cities.
ടെയ്‌ലറിന്‌	For Taylor
ജേതാക്കള്‍	Winners
മാറുമ്ബോള്‍	When you change
എസാര്‍	Essar
സഞ്ജുവിന്റേതെന്ന്‌	Sanju's
രാജാവ്	king
കമ്ബോളങ്ങള്‍	Kambolas
പാറ്റിന്‍സണിന്റെ	Pattinson's
ദിവസങ്ങളിലും	and in the days.
മന്ദാനയും	And Mandana
പ്രാധാന്യത്തെ	the importance of
മോ​ഡ​ലു​ക​ളു​മാ​യി	with the models
യൂനിസിന്റെ	Younis's
കാത്തത്	Waiting
വെള്ളിയാഴ്ച	Friday.
ബ്ലൂ	Blue
കീഴടക്കാന്‍	To conquer
ഷാല്‍ക്കെയെ	Schalke
ഗോ​പു	Gopu
വര്‍ഷവുമായി	with the year
ഏതാണെന്ന്	Which one is it?
വില്യംസണിന്‍റെ	Williamson's
പ്രചരണം	Propaganda
സീരിസ്	Series
അര്‍ജന്‍റീന	Argentina
എന്റര്‍ടെയ്ന്‍മെന്റ്	Entertainment
നേരിട്ടിട്ടില്ല	Not encountered
ഇരുരാജ്യങ്ങളും	Both countries
ര​ക്ഷാ​പ​ദ്ധ​തി​ക്കു	For the rescue plan
പറത്തിയത്	Flew
ലുലുവിനോടും	and Lulu
ഉണ്ടാക്	There will be
കോടിയിലും	In crores of rupees
മുതല്‍	Since
കലക്കന്‍	Kalakan
ബോര്‍ഡ്	Board
സിഗരറ്റുമായി	With a cigarette.
ദിനത്തിലെത്തുമ്ബോള്‍	When the day arrives
യോജനയെ	Yojana of
പോളിസി	Policy
അ​ന്ത​രി​ച്ചു	Passed away
വീണ	Veena
വ്യാപാരത്തില്‍നിന്ന്	from trading
സഹായത്തിന്‍െറ	of the help
ബ്രേക്കിങ്	Breaking
അ​​ത്‌​ല​​റ്റു​​ക​​ളു​​ടെ	of the athletes
കൊളംബൊയെ	Colombo
യുടെ	of
ഇ​ന്ത്യ	India
ശതമാനമെന്ന്	percent
സപ്ലൈകോ	Supplyco
ഐരായുടെ	Ira's
താനാണെങ്കില്‍	If it's you
ചര്‍ച്ചയില്‍	In the discussion
ബസുകള്‍	Buses
റബര്‍വിലയില്‍	At the price of rubber
റിവ്യൂ	Review
കേസൊഴിവാക്കാന്‍	To avoid the case
അധികാരത്തിലെത്തുമെന്ന്	That he will come to power
അമരത്ത്	Amarath
ജി	G
മല്‍സരിച്ചേക്കും	May contest
എ​​​​ലോ​​​​ണ്‍	Elon
മിനേര്‍വ	Minerva
റാ​സ​ല്‍​ഖൈ​മ​യി​ല്‍	In Ras Al Khaimah
ശീലമാക്കി	Habituated
രാജീവിനായി	For Rajiv
എയര്‍ടെല്ലും	And Airtel
ഇറക്കുമതി	Import
വകുപ്പിന്	Department
എന്നാല്‍	But
ഗോള്‍രഹിതം	Goalless
പവന്‍	Pawan
ടൂര്‍ണമെന്റിലേക്ക്	To the tournament
കയറ്റുമതിയില്‍	In exports
ബാ​​ഴ്സ​​യ​​്ക്കു	For Barca
വച്ചതിങ്ങനെ	This is how it was placed
എന്‍ജിഒകളുടെ	of NGOs
ഇടപെടല്‍	Intervention
ഇ​ന്‍​ഷ്വ​റ​ന്‍​സി​ന്	For insurance
മെഡിഗാഡ്	Medicaid
ഒഴികെ	Except
കേന്ദ്രത്തിലെ	At the center
കപ്പ‌്	Cup
പരാജയത്തിന്	for failure
ദിവ്യ	Divya
ശീലങ്ങള്‍	Habits
ക്ഷീണം	Fatigue
മേല്‍	on
പരിഹരിച്ചാല്‍	If resolved
തകര്‍ത്ത‌്	Destroyed
കോര്‍പ്പറേഷന്‍	Corporation
മാന്യമായ	Honorable
കുഞ്ചാക്കോ	Kunchacko
അവസാനിക്കും	Will end
കുഞ്ഞഹമ്മദ്	Kunjahammed
അവതരിപ്പിച്ച	Introduced
മാഡ്രിഡിന്റെ	Madrid's
ചോദ്യങ്ങള്‍	Questions
യായി	yayi
ഫില്‍ട്ടറുമായി	with the filter
ട്രംപിന്‍റെ	Trump's
ടെസ്റ്റിലും	and in the test.
വരിക്കാരുടെ	Of the subscribers
ഇന്ത്യയ്ക്കെതിരെ	Against India
അബുവിന്റെ	Abu's
മീരാ	Meera
പൈ​നാ​പ്പി​ള്‍	Pineapple
സ്യൂട്ട്	Suite
സുരംഗ	Suranga
ഇ​റ​ക്കു​മ​തി​	Import
ജോര്‍ദി	Jordi
ഓസീസോ	The Aussies
ഡ​യ​റ​ക്ട​റാ​യി	As director
പു​ര​സ്കാ​രം	Award
കടുപ്പിച്ച്‌	Hardened
ഇന്ദ്രനെത്തി	Indra has arrived.
പങ്കുവച്ച്‌	Shared
ഗ്ലൈഡ്	Glide
പ്രണയദിനത്തില്‍	On Valentine's Day
ബാധകമല്ല	Not Applicable
11ഉം	and 11.
അതൊരു	It's a
വി​മ​ര്‍​ശ​നച്ചൂടി​ല്‍	In the heat of criticism
മെസഞ്ചര്‍	Messenger
തീരുന്നില്ല	It's not over.
ബന്ധിപ്പിക്കുന്നു	Connecting
കിരീടത്തില്‍	In the crown
ഇക്കാര്യങ്ങള്‍	These things
അതിഥികളായെത്തുന്നത്	Arriving as guests
ഫിഫയെ	FIFA
പ്രോ	Pro
കാറ്റില്‍	in the wind.
ജംഷഡ്പൂര്‍	Jamshedpur
നേട്ടത്തിന്	for gain
ആരാധകരെ	Fans
പാഴായി	Wasted
മാസങ്ങളിലും	and in the months.
ക്ലോക്ക്	Clock
താഴെയുളള	Below
റൊണാള്‍ഡോയുടെയും	And Ronaldo and
ജയറാമിന്റെ	Jayaram's
നിര്‍മ്മാണ	Construction
വിപ്ലവ	The Revolution
ധമാക്കയെന്ന്	Dhamaka
എനിക്ക്	To me
മക്കളെ	The children.
ഷംന	Shamna
അമ്ബരന്ന	Ambaranna
ചേര്‍ത്തല	Cherthala
ഡോട്ട്ബുക്കുമായി	With the dotbook
വി​വോ	Vivo
ദേഷ്യപ്പെട്ട്	Angry
മടല്‍	Folding
ധോണിയുടെ	Dhoni's
അ​സ​റ്റ്	Asset
സ്വിഗ്ഗി	Swiggy
നല്‍കിയെന്ന	Given that it was given
ഇന്‍ഡിഗോ	IndiGo
മറികടക്കാന്‍	To overcome
സത്യമറിയാതെ	Without knowing the truth.
ആന	elephant
കുതിച്ചുയരുന്നു	It's booming
പോയതോടെ	When he's gone
ഇഷ്കി	Ishki
ഐഎസ‌്‌എല്‍	ISL
