ચોર્યો	The thief
રસ્તામાં	On the way
કરોડાના	crores of rupees
જવાનીમાં	In jawani
કાર્નિવલ	Carnival
સિયારામ	Siyaram
તસવીરનો	Picture of
સપ્તાહે	Weekly
સુર્યની	Surya's
ડ્રો	Draw
સીધા	Straight
રિતિકે	Hrithik
ઈ	e
માખી	bees
કંગનાની	Kangana's
ગુલાટીનો	Gulati's
ચોકાવનારું	Shocking
એકલી	Alone
સાચે	Really
મોહમ્મદ	Mohammed
વિવાદો	Disputes
ખલી	Khali
સલમાનને	To Salman
બાથરુમનો	of the bathroom
નક્કી	decided
માસ્ટર	Master
ટ્રમ્પનો	Trump's
હુમલો	Attack
આખું	entire
પિતાને	Father
રોહતગીએ	Rohatgi
કારનું	of the car
6લાખનો	6 lakh
લેન્ડરોવર	Land Rover
બચાવી	Rescued
સગાઈની	Of engagement
સુષ્મિતાએ	Sushmita
રિતેશ	Ritesh
વર્ષનું	of the year
દીપિકાની	Deepika's
કેટરીના	Katrina
પાછી	Back
સાંવતે	Savante
હટાવવાની	To remove
ત્રિમાસિકમાં	in the quarter
ઈબ્રાહિમનો	Of Abraham
સાબિતી	Proof
ગ્રૂપ	Group
કૃષ્ણાએ	Krishna
મજેદાર	Fun
દુલ્હનથી	From the bride
આખરે	At last
36ની	Of 36
ડૉલરના	of the dollar
સેવા	Service
નાગિનના	Nagin's
જાહ્નવીની	Jahnavi's
ખાનના	Khan's
ઇફેક્ટ	Effect
ધમકાવતો	Threatening
કરન	Karan
મળતી	Found
સેન્સેક્સ	Sensex
વર્ઝન	Version
હાઈકોર્ટમાં	In the High Court
પિતાની	Father's
મનીષ	Manish
માઈકલ	Michael
જેનફોન	Zenfone
વર્ષોથી	over the years
હોઇ	Hoi
મળ્યું	Found
લાઇન	Line
શ્રીની	Sri's
હાથીનું	of the elephant
ટોપ	Top
કેબ	Cab
કોમર્સના	Of Commerce
માર્કેટયાર્ડમાં	In the marketyard
ખૂશ્બૂ	Khushboo
ગુજરાત	Gujarat
મહારાષ્ટ્રની	of Maharashtra
ઉઠાવો	Pick up
વોલેટથી	From the wallet
દાગીના	Jewelry
હબ	Hub
ગૃહિણીઓ	Housewives
સ્વાગત	reception
હરેકૃષ્ણામાં	In Harekrishna
76મો	76th
તુષાર	Tushar
સમાપ્ત	The end
ગળેફાંસો	Suffocation
ગાંગુલી	Ganguly
ડિપોઝિટ	Deposit
ડાબો	Left
ટીટૂ	Titu
પાપડ	Papad
ચાંદીના	Silver
બોલીવુડ	Bollywood
ભાવનગરઃ	Bhavnagar:
હિંમતનગરમાં	In Himmatnagar
બિજલાનીઃ	Bijlani:
કંન્ટ્રોલ	Control
ઉઘ	Sleep
મંત્રીની	Minister's
કલાકારોની	of the artists
થી	From
રસમથી	From Rasam
ચાલતી	Walking
પરણવાનાં	To get married
માસ્ક	Mask
રાજ	Raj
રેપ	Rap
લોંચ	Launch
પિતાના	Father's
પદ્મશ્રીથી	From Padma Shri
ડેલિગેટ્સ	Delegates
રાધીકા	Radhika
લાખો	Millions
હજારની	of thousands
દુનિયાભરમાં	Around the world
મુંદરા	Mundra
અમદાવાદમાં	In Ahmedabad
ફેબ્રુઆરી	February
હમ	Hum
રુપિયાનો	of rupees
આરોપોનો	of the allegations
દુબઇની	Of Dubai
નીરવ	Neerav
399નો	Of 399
ગાળામાં	over a period of time
અસ્થમાની	of asthma
કોચરને	To Kochhar
છૂપું	hidden
રિયા	Rhea
બાબરા	Babra
ચોકલેટ	Chocolate
ઓથેન્ટિકેશન	Authentication
મેહંદીનાં	Mehndi's
ઓગષ્ટથી	From August
બેડ	Bed
ડ્રિમ	Dream
એંગલથી	From angle
2018નું	Of 2018
સિમકાર્ડની	OF SIM CARD
પરિણીતી	Married
હોન્ડાની	Honda's
પેટ્ટા	Petta
યોજનાઓ	Plans
ભારતભરમાં	Across India
ડિઝલમાં	In diesel
જેવો	Like
જશે	will go
લિડર્સ	Leaders
31મો	31st
માતાજી	Mataji
ફ્લોન્ટ	Flant
આપતી	Giving
ફિલ્મમાંથી	from the film
પરિણીતિ	Married
બેંકના	Of the Bank
જમવાનું	Eating
રેટ્રો	Retro
બેગમાં	in the bag
નાચ્યો	Danced
આલિયાનાં	Of Alia
જોઇને	Seeing
ડાઉનલોડ	Download
બતાવતી	Showing
સ્ટાઈલમાં	In style
ફાઇટર	Fighter
કંપનીઓએ	companies
દુનિયાભરનાં	Around the world
યાત્રા	Journey
ગાબડાં	Gabdas
કરવાં	to do
ખોટા	False
મફતમાંઃ	Free of charge:
ઐશ્વર્યાની	Of Aishwarya
ગરોળી	Lizard
હિન્દોસ્તાન’નું	Of 'Hindustan'
કહેલાતા	Said
જોવી	Watching
અર્થતંત્રમાં	in the economy
રનૌટ	Runout
માલિકની	of the owner
દારૂના	Alcohol
ફેશન	Fashion
સુહાનાનો	Suhana's
ફોનમાં	On the phone
શેરાવત	Sherawat
ઉત્તર	North
પ્રોજેક્ટઃઅમદાવાદનો	Project: Ahmedabad
મોટું	great
સ્કર્ટમાં	In skirts
એડિશન	Edition
આઈડી	ID
ફેનને	To the fan
સ્ક્રેચને	to scratch
પંખુડીનો	of the wings
વ્યક્તિગત	individual
જલસો	Jalsao
વર્લ્ડ	World
રાખતા	Keeping
સ્પર્ધકે	Contestant
સેક્સ	Sex
કબ્ર	Grave
ક્વિન	Quinn
બેસે	sits down
ગરદન	neck
099માં	In 099
કેશબેકથી	From cashback
ના	No
બેંકથી	from the bank
બ્રેક	Brake
શોખીનો	Fond of
ડોલ	bucket
રહસ્ય	Secret
કામસૂત્ર	Kamasutra
ઘાઇની	Ghaini
લાલુ	Lalu
રિલેશનશિપમાં	In a relationship
બીજી	Another
કહાની	Story
કરશુંઃવિશ્વ	We'll do it: The World
અનુભવ	experience
સ્પિડે	Speede
આક્રામક	Aggressive
કિર્તિ	Kirti
જમ્મુ	Jammu
શકો	You can
માદરે	Madre
જરૂરત	Needed
પ્રિતી	Priti
છેલ્લા	Last
અમદાવાદઃઓર્ગેનિક	Ahmedabad: Organic
ક્યુટ	Cute
ઠૂમકદા	Thumkada
2200નું	Of 2200
શિંદે	Shinde
એટેકથી	from an attack
કોંગ્રેસની	Of the Congress
ભડકી	flared up
કોર્સ	Course
રહસ્યની	Of the mystery
મંડી	Mandi
ગો	Go
પેટ્રોલથી	With petrol
ટ્રાયલ	Trial
માટી	earth
કાઉચથી	From the couch
નાથની	Nath's
તાલીમ	Training
અગરિયાઓની	Of the Agariyas
સિદ્દકીએ	Siddaki
ખેડૂતોનું	of the farmers
પૂરા	Complete
કેટરિનાએ	Katrina
એરબેગ	Airbag
કેશ	hair
રોમાન્ટિક	Romantic
મંજૂર	Approved
હમશક્લ	Humshakals
કર્યે	Karye
હવે	Now
લેસ્બિયન	Lesbian
વાડિયાને	Wadia
ડાયરામાં	In Diarea
લેવાયો	Taken
નોટબંધીમાં	In demonetisation
ઘોડે	Horsemen
મોહાબ્બતે	Mohabbatein
એરટેલે	Airtel
બમણો	Double
સાઇટ	Site
યૂઝ	Use
શબ્દોમાં	In words
ભણસાલીની	Bhansali's
સેન્સેકસ	Sensex
વિશેષતાઓ	Features
ડ્યુઅલ	Dual
સંભાવના	Probability
વેજ્ઞાનિક	Scientific
બદલાશે	will change
સેરેમનીનાં	Of the ceremony
મીરાં	Meera
સરળતાથી	Easily
મિનિટે	minute by minute
ક્રિપ્ટોકરન્સી	Cryptocurrency
માંડી	Start
ચિનના	China's
બેલેન્સનો	of balance
પહેલો	First
ઇન્સ્ટાગ્રામનો	Of Instagram
થકી	through
વાહ	Wah
વ્યાપાર	Business
લોકોનો	people
શોધમાં	In search
કરવાની	to do
સીનની	Of Sean
ક્રિતી	Kriti
કબડ્ડીની	Of Kabaddi
તમારાં	Yours
કાબુમાં	in control
પગલાથી	Step by step
ફુલ	Flowers
અધિકારીઓ	Officers
ધમકીઓ	Threats
ગુપ્ત	Secret
210થી	From 210
ગેબ્રિએલા	Gabriella
વયે	Age
રોસ્ટર	Roster
મંદીર	Temple
વધ્યા	increased
બેસતી	sitting down
કરતું	Doing
છેતર્યા	cheated
કારીગરો	Artisans
ભણવા	To study
ભાવુક	emotional
ધરાવનારા	Possessing
જાદુ	Magic
પત્તું	Leaf
દયાબેન	Dayaben
ફોરવર્ડ	Forward
ઈંડસ્ટ્રીની	of the industry
સ્ક્રીન	Screen
મોબાઈલથી	From mobile
બિકિની	Bikini
કર્યું	done
કેદારનાથ’નું	'Kedarnath'
વઘુ	Vaghu
પેન	Pen
યુક્ત	yukta
વધવાના	To grow
દીપવીર	Deepveer
શિવગામીનો	Sivagami's
લાવ્યું	Brought in
મોનિકા	Monica
ખરીદનારાઓને	To buyers
સરકારઃ	Government:
કાર્તિક	Karthik
મોબાઈલમાંથી	From mobile
ફ્રિજ	fridge
બધાઇ	All of them
અપાવી	Given
અરબાઝ	Arbaaz
ઓપ્પો	Oppo
રોજગારી	Employment
લાઇનમાં	In line
કઠણ	firm
3000નો	Of 3000
કૈટરીના	Katrina
જશ્ન	Jashn
કર્મીની	of the worker
સૌમ્યા	Soumya
મહત્ત્વનો	Important
નહેવાલની	Nehwal's
કૈટરીનાનો	Katrina's
માર્યો	Killed
ડીઝલનાં	Of diesel
તું	You
પ્રચાર	Publicity
શૅરબજારમાં	In the stock market
સીટ	Seat
ઑફર	Offer
ઓક્ટોબરે	In October
એક્સચેન્જ	Exchange
ડૂંગળીના	Dungalina
મલાઇકાથી	From Malaika
એક્ટ્રેસિસનાં	Actresses
મેળવી	Received
ખતરામાં’	In danger'
ફતેહીએ	Fatehi
બેઝિસ	Bezis
વિચારશો	Think
વલસાડઃવેપારીઓ	Valsad: Traders
સ્પર્ધકને	to the contestant
મોહન	Mohan
વાળું	turning
જન્મદિવસની	Birthday
કેટલી	How much
મોબાઇલમાં	In mobile
જીવનસાથી	spouse
શર્મિલા	Sharmila
નેક્સનને	Nexon
અભિષેકનાં	Of Abhishek
વગર	without
જોવાની	To see
રાવ	Rao
સોદા	Deal
મનાવા	Manwa
રિલીઝ	Release
સમજાવશે	Will explain
વખતે	Time
સાજિદે	Sajid
પુત્ર	Son
સેક્સના	of sex
હોલિવૂડમાં	In Hollywood
સ્ક્રિન	Screen
વેચાય	Sold
માંગ્યું	Asked for
લીધે	Due to
બાર	Twelve
સરેન્ડર	Surrender
5ની	of 5
મોતની	of death
તનુશ્રીએ	Tanushree
ગ્રેચ્યુટીના	Gratuitya
સ્ટોરથી	From the store
હસીનાઓએ	Hasinao
ફરાર	Absconding
લેપટોપ	Laptop
અમદાવાદઃમ્યુનિ	Ahmedabad: Muni
પુનીત	Punit
ડેબિટ	Debit
લુંગી	Lungi
માનાં	Mana
વેપાર	Business
ચેટનું	of chat
શર્માનું	Sharma's
વડાલી	Wadali
ફાયદાનો	Benefits
ડોલર	Dollars
કાર્ડમાં	In the card
હેંગ	Heng
હેલો	Hello
સિકંદરના	Sikandar's
13મીએ	On the 13th
ગલીઓમાં	In the streets
અંકિતા	Ankita
રાજ્યોમાં	States
12નું	of 12
કોચરનો	Kochhar's
દેશમાં	in the country
ડ્રાઇવર	Driver
મિલાવશે	Will meet
ચાહકે	Fan
સારો	Good
શામેલ	Included
કાર્દિશિયન	Kardashian
લાવા	Lava
2018માં	In 2018
પાડશે	will
ભરતી	Recruitment
સેકન્ડમાં	in seconds
મોડો	Late
કહ્યુ	said
અરબાઝની	Arbaaz's
પૂરથી	from the flood
સુઝૈન	Suzanne
છુટાછેડાનાં	Divorce
માલદિવમાં	In the Maldives
બનાવનાર	Creator
ધક્કા	Push
ફરતા	Moving around
12માં	In 12th
મિસ્ટર	Mister
મિનીટમાં	In minutes
ઉડીને	Flying
કોચમાં	In the coach
ઘટાડીને	By reducing
યુએસ	U.S.
પાઉન્ડનું	of the pound
બેન્દ્રેની	Bendrenny
ફ્રાઇડે	Friday
વાર્તાલાપ	Conversation
ઇલિયાના	Ileana
હોલિડે	Holiday
બોયફ્રેન્ડના	boyfriend's
સ્વીકારે	Accepts
પ્રોમો	Promo
ચાબખો	Whip
સહેલાઈથી	Easily
પેપર	Paper
કુલ્હારી	Kulhari
પરિવહન	Transportation
ગાંધીને	To Gandhi
સવા	Sawa
હોસ્ટેલનું	of the hostel
જીજા	Jija
મોરચો	Front
રોકાણકારોએ	Investors
ચોર	thief
નિહાળી	Watched
ગ્લેમર્સ	Glamors
મહિનાનો	of the month
રણબીરના	Ranbir's
ઉલટા	On the contrary
શૂટિંગનાં	of shooting
સૌંદર્યા	Soundarya
હરિફ	Rival
માંગનાર	Asker
દરમાં	In rate
જણાવી	Tell me
સર્ચ	Search
કમરે	Kamre
કોમની	Of the community
પોકેટ	Pocket
વાપરનારા	User
બોન્ડિંગ	Bonding
ગીફ્ટ	Gift
ગાયોની	of cows
ફેબ્ર	Fabr
લીંક	Link
દોડતી	Running
છવાય	Chhaway
કુશલ	Kushal
દીપિકાનો	Of Deepika
હતી	was
દામ	Dam
વગરની	Without
ગણાવ્યું	Counted
ચંદન	Chandan
ડિવાઇસ	Device
હેડને	To Head
પાર્ટીના	Of the party
તાવ	fever
મિહિર	Mihir
બાસુએ	Basu
લોન્ચિંગ	Launching
અથવા	or
બેટી	Betty
અખિલેશને	To Akhilesh
પેમેન્ટ	Payment
કાતર	scissors
કંગના	Kangana
માન્યો	Believed
લાગી	It took
આમંત્રણ	Invitation
ખુલાસો	Explanation
કેરેટ	Caret
વાદમાં	In the debate
જૂથ	Group
મહિન્દ્રા	Mahindra
રંગીન	Colored
ભાઇનો	brother's
કચ્છમાં	in Kutch
ફેર	Fair
ફેટના	Fatna
નિધિ	Nidhi
નિતીન	Nitin
કાલા	Kaala
36માં	In 36
સમાવેશ	inclusion
થિએટ્રિકલ	Theatrical
ઉઠાવ્યો	Picked up
જેટલું	As much as
નફો	Profit
નરેન્દ્ર	Narendra
રિતિકને	To Hrithik
અભિનય	Acting
ઉરીઃ	Uri:
કાર્યવાહી	Proceedings
માર્ચમાં	in March
ધામી	Dhami
મસાબાએ	Masabae
રિયલ	Real
શોલે	Sholay
સંપૂર્ણપણે	absolutely
ખુશહાલ	Happy
ક્રિતિકાનો	Kritika's
નેતાઓને	Leaders
આવતીકાલે	Tomorrow
આદુવાળી	Ginger-walled
બદલો	Change
મિલરોને	To millers
છાત્રો	Students
પ્રિયંકાના	Priyanka's
જોરથી	Loudly
દાળની	of pulses
ફોલ્‍ડેબલ	Foldable
બનેલી	Made up
માહિતી	information
ઝડપાયો	Caught
માહિષ્મતીમાં	In Mahishmati
તારીખે	On the date
ભટ્ટે	Bhatte
દર્દીઓને	patients
વાણી	Speech
કાગડા’ને	'Kagda'
ડુંગળી	onion
લાકોની	Laconi
નાખીને	by pouring
કરવાનાં	To do
સત્તા	authority
અંગે	About
અને	and
બચશે	will survive
ટાંકીમાં	In tank
ચાલનારી	Walking
મલ્હોત્રા	Malhotra
બોલિવૂડમાં	In Bollywood
રોલમાં	In The Role
પિતાનો	Father's
માણસની	Man's
ખેંચી	Pulled
વહેંચે	Sharing
અશ્લીલ	Obscene
મોઢું	face
કંપનીનો	The company
બેજાન	Bejan
નોમુરા	Nomura
રણબીરની	Ranbir's
ઉઘોગમાં	in ughog
ખરીદી	buying
કિસ	Kiss
નાઇટમાં	At night
મામલામાં	In the case
2017માં	In 2017
ગર્લે	Girl
સીટી	CT
મોગલી	Mowgli
એક્સક્લૂઝિવ	Exclusive
જાણતા	Knew
યોજાઇ	Held
મુશ્કેલી	difficulty
માતાની	Mother's
તિવારી	Tiwari
વેસ્ટર્ન	Western
અમારી	our
અરજદારે	The petitioner
મસેજ	Massage
બિકિનીમાં	In a bikini
દુધ	Milk
સાંકડા	narrow
આદિત્ય	Aditya
ક્રિકેટર	Cricketer
નેશનલ	National
રહીશઃ	I will:
ખરેખર	Really
કો	Who
શીશી	Vial
પ્રકાશનું	of light
માન્યતા	Validation
ડિફોલ્ટર્સના	of defaulters
થયેલી	Done
ફોલો	Follow
000થી	From 000
લાલઘૂમ	Lalghum
તૈનાત	Deployed
સચ્ચાઇ	The Truth
જિંદગી	Life
ફિલ્મનું	The film
મેમરીવાળો	memoryable
કોમોલીકા	Comolica
હલી	Hallie
નંદિતા	Nandita
હાલમાં	Currently,
ચોરવાની	stealing
મોત	Death
પેપરની	of paper
શ્યાઓમી	Xiaomi
બનો	Be
લોનના	of the loan
પૉલિસીની	of the policy
રોશન	Roshan
લાવવાના	To fetch
જન્માષ્ટમીમાં	On Janmashtami
ભર્તી	Bharti
ધીમા	Slow
પડેલ	Fallen
સોનિયા	Sonia
મનાવો	Persuade
રિટર્ન્સ	Returns
નિકના	Nick's
બંધાયા	tied up
મોનાલિસાએ	Monalisa
આંકડા	Statistics
બોલવું	speak
ઉઠતાં	Getting up
વેલ્યું	Welly
જલોટાને	Jalotane
કમાણીને	earnings
કેટરિનાનો	Katrina's
આંખથી	with eyes
દિયર	Brother in Law
અપાશેઃનવો	Will be given:
બુરી	Buri
તૈમુર	Taimur
ખટરાગની	Khatragani
ભરૂચઃસસ્તુ	Bharuch: Sastu
વજાઇના	Vajaina
રાઝી	Razi
બીની	Beanie
યોગ	yoga
સ્કેમ	Scam
જોડાઇ	Connected
ઉચક્યો	raised
સ્માર્ટ્	Smart
બોલાવ્યા	Called
લિયોનીને	To Leoni
મિકા	Mika
ફ્લિપકાર્ટની	Flipkart's
દુધવાળો	Milkman
મસાન	Masaan
સમલૈંગિકતા	Homosexuality
રેમો	Remo
ટાઇગરની	Tiger's
બંધનમાં	In bonding
મળ્યાં	Met
ભણસાલીએ	Bhansali
વિજ્ઞાન	science
પડતો	falling
જયા	Jaya
લિગલ	Legal
બીમારીથી	from illness
મારપીટ	Beating
સ્વીટી	Sweety
જાનૈયાનું	Janaiah's
નંદા	Nanda
પ્રિયા	Priya
વર્ગમાં	in class
નુક્શાન	Damage
હરતા	Harta
એપીએમસી	APMC
રાજકોટઃદાગીના	Rajkot: Daagina
અમૃતા	Amrita
સપોર્ટસ	Supports
બંપ	Bump
8મી	8th
વિકાસ	development
કાઢી	Deleted
માલ્યાને	To Mallya
હતાઃ	They were:
લાયક	Eligible
વિપક્ષને	to the opposition
ખરાબ	bad
એક્ટરના	Of the actor
આફ્રિકા	Africa
પોઇન્ટનાં	points of
હોસ્ટ	Host
જેમા	In which
વિતાવ્યો	spent
અનંત	Infinite
ફની	Funny
એક્સીડેન્ટલ	Accidental
કાર્યભાર	Workload
ગમનો	Gum's
રોશનને	To Roshan
પેરાલિસિસ	Paralysis
જૈક્લીન	Jacqueline
સાચો	True
22મો	22nd
ગ્રામનો	Gram's
સ્કૂલ	School
મેક્સિસ	Maxis
જીવી	Living
તેમનું	Theirs
ડ્રોપમાં	in drop
ફેન્સે	Fans
મજાક	Joke
તૈયારી	preparation
અછતને	lack of
બજારોની	of the markets
બાળ	Child
સુનીલને	To Sunil
મહિલાઓનો	of women
મુદ્દતમાં	in term
નિર્દેશકોએ	Directors
સંગ્રહ	Storage
ડ્રાફ્ટ	Draft
સૂટમાં	in suit
રુપિયાથી	With rupees
ભાજપ	BJP
સ્પષ્ટીકરણ	Specification
પૈસાનો	of money
જીતુ	Jeetu
તરફેણ	Favors
વિડિયો	Video
કન્ટેસ્ટંટે	Contestant
એક્સરસાઇઝ	Exercise
કોઈપણ	Any
ઇચ્છાએ	at will
72થી	From 72
પોલીસી	Policy
ઓફરમાં	In offer
કતારમાં	In queue
ગ્રાહકોને	Customers
10125ની	10125
રણવિરનાં	Ranveer's
શેરબજાર	Stock Market
બદલશે	Will change
ટેબ્લેટ	Tablet
અંતિમ	Final
રા	Ra
હટી	Removed
સ્કૂટર	Scooter
અમેરિકાની	America's
સફળતા	Success
વિવાદમાં	In controversy
જેટલો	As much as
ફેરફારની	Changes
કેટરિનાનું	Katrina's
ફેમિલી	Family
છાણાં	Shades
તાતને	Tatne
ઉદ્યોગપતિઓના	of industrialists
રિલેશનશિપને	To the relationship
ચેમ્બર	Chamber
ગુજરાતને	To Gujarat
જ્વેલર્સની	Of jewellers
ડેઝી	Daisy
વાતો	Things
ધંધો	trade
ચૂંટણી	election
એમડીના	MD's
સંઘથી	from the Union
મહારાજાઓ	Maharajas
પહેલીવાર	For the first time
વચ્ચેથી	From the middle
અધિકાર	authority
હંકથી	From Hank
સર્વિસના	of service
નોકરીઓની	Of jobs
ચિદમ્બરમની	Chidambaram's
ભાવે	Price
શુભ	Good luck
મજુરોના	of the labourers
ઈનફિલ્ડને	To the infield
નિક	Nick
વજન	Weight
ફેમિલીની	of the family
ઇન્સ્યોરન્સ	Insurance
રેકોર્ડબ્રેક	Recordbreak
બેટ	island
ટોચના	Top
ઉઘતા	sleeping
બોલો	Speak up
અવિશ્વાસ	Distrust
નફરત	disgust
બરફનાં	Snow
સાંઘી	Sanghi
ચિંતામાં	In anxiety
મેળવવી	Getting
સહેલી	Easy
બંસલે	Bansal
દુબે	Dubey
ઝડપથી	Quickly
40000થી	From 40000
પાનેતર	Paneter
પ્રોગ્રામ	Program
6થી	From 6
હનિમૂનમાં	In honeymoon
મોનસૂન	Monsoon
એડવાન્સ	Advance
વિઠ્ઠલ	Vitthal
હિમ્મતવાલા	Himmatwala
વિરૂદ્ધ	against
વિજેતા	victor
ડિપાર્ટમેન્ટ	Department
બેન્કથી	from the bank
81માં	In 81
કપૂરનો	Kapoor's
લક્સ	Lux
રાખીનાં	Rakhina
રોકાણકારોને	To investors
ડિએક્ટિવ	Deactive
વાત	Talk
ચાલશે	Will go on
પાકિસ્તાની	Pakistani
અવતારથી	From avatar
શૂટિંગના	of shooting
આશ્ચર્ય	Surprise
ચેકિંગ	Checking
ગેંગરેપ	Gang rape
પહેરેલાં	worn
ગરીબ	meek
બેસીને	Sit down
સ્ક્રીનિંગ	Screening
ખાતા	Accounts
શશિ	Shashi
બદલાયું	Changed
પુલવામા	Pulwama
ફ્રિડમ	Freedom
વીજળીથી	by electricity
1હજાર	1,000
ખાતાથી	From account
110નો	Of 110
સગાઈનો	Of engagement
દેવને	To God
લાખોની	millions
કુંબલેએ	Kumble
કરોડોની	crores of rupees
રિલાયન્સ	Reliance
7ના	Of 7
રણવીરનો	Ranveer's
ચીફ	Chief
રોક	Rock
આગવા	Leading
વિવેક	Vivek
સ્ટાર્સના	of the stars
અશોક	Ashok
દારૂવાલાને	To the drunkards
બાહુબલી	Baahubali
ટીઝર	Teaser
તેજઃ	Tej:
સ્વામી	lord
છોડશે	will leave
ધબડકો	Banging
સેટ	Set
હસશો	Laugh
દત્તાએ	Datta
જાઉં	I'll go
જયના	Jayna
કારમાં	In the car
ડીઝલના	Diesel
55થી	From 55
કોઈની	Someone's
કરીનાનાં	Kareena's
હોટલમાં	in the hotel
લખેલા	Written
મનમાની	Arbitrary
નોઇડામાં	In Noida
ઉપાડવાનો	Lifting
ગા	Ga
ટેરિફ	Tariff
હેલિકોપ્ટર	Helicopters
ગેરફાયદા	Disadvantages
દીકરાએ	Son
આપને	You
સીઝનનું	of the season
પાદુકોણના	Of Padukone
પ્રીમિયમમાં	In premium
સેન્સર	Sensor
કપડાની	of clothes
કાર્ડનો	of the card
સીઈઓ	CEO
મચ્યો	Machyo
સપ્ટેમ્બરે	In September
ગીગા	Giga
દેવગણનો	Devgan's
ડિસેમ્બરે	December
સ્ક્રિનિંગમાં	In screening
છેતરપિંડીનાં	of fraud
4ને	4
બિલ્ડીંગોને	buildings
અખ્તરની	Akhtar's
રોયના	Royna
વેબસાઇટમાંથી	From the website
એન	N
રમતો	Games
વચ્ચેના	In between
ગુજરાતનું	Of Gujarat
આઉટફિટમાં	In an outfit
દૈનિક	Daily
તસવીરોઃ	Photos:
પહેરીને	By wearing
મુંબઈના	Mumbai
મોહક	Charming
નીતૂ	Neetu
વોલ	Wall
ટ્રેડિંગ	Trading
ઇન્ડસ્ટ્રીઝને	Industries
લાખોમાંથી	Out of millions
ચાંદ	The Moon
મિત્રોનું	of friends
ગાયું	Sung
બેઅસર	Unaffected
ફોડશો	Tear up
તૃતિયા	Tritiya
સ્વિમિંગપૂલમાં	in the swimming pool
જમાવ્યો	Fed
કોઈને	Someone
નિધન	Death
રાતે	At night
હોન્ડા	Honda
કરજો	Do it
જેઓ	Those who
ફ્રોડથી	From Fraud
રેડિએશન	Radiation
કોકરોચથી	From cockroaches
ટાઇપ	Type
અટકાયત	Detained
લાઇમલાઇટથી	From the limelight
ભરીને	Filled in
યથાવત્	As on
પરેશાનીમાં	In trouble
પેનલના	of the panel
અંદાજે	Approximately
દુરપયોગ	misuse
ભારતીયોની	Of The Indians
કરવુ	to do
કરોડનું	crores
નેહવાલની	Nehwal's
ગડકરી	Gadkari
ટ્રેજડી	Tragedy
ચેરપર્સન	Chairperson
દરરોજનાં	Every day
દાયરામાં	In daira
એફિડેવિટ	Affidavit
કરાર	Agreement
હેલ્થને	to health
ઇશિતાની	Ishita's
આરોપીઓ	accused
હટે	Move on
સુમુલ	Sumul
નગીના	Nagina
લગાવેલા	Installed
કિંમતે	At a price
બર્થ	Birth
રેસલર	Wrestler
મ્યૂઝિક	Music
ક્ષમતા	Capacity
સર્જીકલ	Surgical
વસુલી	Vasuli
મીલિયન	Milian
ડિવિઝનની	Of the Division
ગોવાના	Goa
સેશન	Session
લિયોનીનું	Of Leoni
કિશ્વર	Kishwer
જોવામાં	To see
કહેતો	saying
જેક્સન	Jackson
આપ્યુ	Given
સ્માર્ટફોનમાં	In the smartphone
મુશ્કેલ	difficult
કમળો	Orange
મુંબઇનાં	Of Mumbai
ટેક્સનો	of taxes
લખ્યુ	Written
શર્માએ	Sharma
ભારતના	Of India
સરળ	easy
બુરખો	Burkha
જોડિયા	Twins
સ્લિપમાં	In slip
એન્જિન	Engine
લિયોનની	Leon's
ખતરા	Danger
બટરફ્લાઇ	Butterfly
વર્કઆઉટ	Workout
299નો	Of 299
વિવાદિત	Disputed
ગિન્નીએ	Ginni
સંભાળવા	To handle
આટલું	So much
ફ્રીમેન	Freeman
રાજીનામાનું	resignation
બ્લાઉઝ	Blouse
પત્રમાં	In the letter
ઇટાલીમાં	In Italy
ચર્ચાયેલા	Discussed
ગ્રેસ	Grace
મનમોહક	Enchanting
ચશ્માથી	with glasses
એવોર્ડ	Awards
બનાસકાંઠામાં	In Banaskantha
ઘાઇના	Ghana
અજીમ	Azim
નાકાએ	Nakae
કંકોત્રીની	Of Kankotri
પ્રિયાનો	Priya's
નવાઝ	Nawaz
મિનિટથી	Minute by minute
મૂવી	Movie
ચોરાવવી	stealing
જીનિવામાં	In Geneva
સ્ટાફને	to the staff
સેન્ડલ	Sandals
કોન્ફરન્સમાં	at the conference
ચાંદલો	The moon
જાહ્નવીએ	Jahnavi
બેંકને	to the bank
દવેનું	Dave's
રેલનાં	of the railway
ઇ	e
લિસ્ટ	List
બેન્કોના	of the banks
કોલાબ્રેશન	Collaboration
નગ્ન	Naked
ઝલક	Glimpses
દિલ્હીના	Of Delhi
કોર્ટની	Court of Court
યામી	Yami
સરફરાઝે	Sarfraz
ભાજપમાંથી	from THE BJP
સોહાની	Sohani
ઇમ્પેક્ટ	Impact
ગણેશજીની	Of Ganeshji
ચૂક	Missed
કેનાલમાં	in the canal
ટ્રાન્સપરન્ટ	Transparent
આપોઃ	Give:
ક્રૃડ	Crude
વહુનો	daughter-in-law
ચેન્નઇમાં	in Chennai
બોગસ	bogus
બીલ	Bill
સંસદિય	Parliamentary
માહિકા	Mahika
ફિલ્મનાં	of the film
ટેક્ષ	Tax
પ્રી	Pre
પ્રેરણાની	of inspiration
જગ્યાઓ	Places
ટેકનોલોજીથી	With technology
દીપિકાના	Of Deepika
પ્રો	Pro
પ્લેબોય	Playboy
પકડી	Catch
નસીરુદ્દીન	Naseeruddin
બિમારી	Illness
દિવાળીના	Of Diwali
આઈટી	IT
